"Day","Cash On Hand (Accumulated) (SGD)"
11,305844
12,565622
13,174325
14,548194
15,1136848
16,1777374
17,116463
18,1734962
19,2453355
20,756621
21,412594
22,561200
23,3853371
24,300664
25,767019
26,544949
27,251511
28,963969
29,3419539
30,3023454
31,3176952
32,1573445
33,9249256
34,14176659
35,19883017
36,19052501
37,19340577
38,19169883
39,21320225
40,22527929
41,21698238
42,21637640
43,20251689
44,23654916
45,32060879
46,32932027
47,33064869
48,35289382
49,35061210
50,35664836
51,33742685
52,38719200
53,42789761
54,46746543
55,46856584
56,48410519
57,49544895
58,50162061
59,50923063
60,51613241
61,51884568
62,54966460
63,55836248
64,56784624
65,60157681
66,59952431
67,60592577
68,59960457
69,58711176
70,64385107
71,66260541
72,70913749
73,71267009
74,72514547
75,73389038
76,74376033
77,75508884
78,73848487
79,72853642
80,74727506
81,75841244
82,76258769
83,76445961
84,84485137
85,90272507
86,90438137
87,90555262
88,91611641
89,90851562
90,92889246
